,start_hour,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,trip_duration,gender,time_of_day
26023,19,40.76227205,-73.98788205,40.7575699,-73.99098507,279,1,Evening and night
26024,18,40.73649403,-73.99704374,40.73454567,-73.99074142,289,1,Evening and night
26025,22,40.71754834,-74.01322069,40.72165481,-74.00234737,782,2,Evening and night
26026,16,40.7423543,-73.98915076,40.746745,-74.007756,297,1,Evening and night
26027,18,40.73492695,-73.99200509,40.7500727,-73.99839279,863,1,Evening and night
26028,17,40.72405549,-74.00965965,40.770513,-73.988038,1432,1,Evening and night
26029,23,40.7575699,-73.99098507,40.739323,-74.008119,651,1,Evening and night
26030,12,40.72679454,-73.99695094,40.73704984,-73.99009296,641,1,Mid-day& Afternoon
26031,17,40.71273266,-74.0046073,40.73047747,-73.99906065,366,1,Evening and night
26032,14,40.761628,-73.972924,40.746647,-73.993915,726,1,Mid-day& Afternoon
26033,15,40.70037867,-73.99548059,40.70277159,-73.99383605,217,1,Mid-day& Afternoon
